xn,y,ymin,ymax,d,d_obs,u
18.22945,18.211603,20.0,22.0,26.133333,26.133333,0.99883765
18.246994,18.22945,20.0,22.0,26.166666,26.166666,0.99886084
18.264252,18.246994,20.0,22.0,26.2,26.2,0.9988833
18.28124,18.264252,20.0,22.0,26.233334,26.233334,0.9989053
18.297976,18.28124,20.0,22.0,26.266666,26.266666,0.9989266
18.314472,18.297976,20.0,22.0,26.3,26.3,0.9989473
18.330744,18.314472,20.0,22.0,26.333334,26.333334,0.9989675
18.346802,18.330744,20.0,22.0,26.366667,26.366667,0.99898726
18.36266,18.346802,20.0,22.0,26.4,26.4,0.99900645
18.378326,18.36266,20.0,22.0,26.433332,26.433332,0.9990251
18.393816,18.378326,20.0,22.0,26.466667,26.466667,0.9990434
18.409138,18.393816,20.0,22.0,26.5,26.5,0.9990613
18.4243,18.409138,20.0,22.0,26.533333,26.533333,0.99907863
18.439312,18.4243,20.0,22.0,26.566668,26.566668,0.9990957
18.454182,18.439312,20.0,22.0,26.6,26.6,0.9991123
18.46892,18.454182,20.0,22.0,26.633333,26.633333,0.9991285
18.483532,18.46892,20.0,22.0,26.666666,26.666666,0.99914443
18.498024,18.483532,20.0,22.0,26.7,26.7,0.99916005
18.512405,18.498024,20.0,22.0,26.733334,26.733334,0.99917513
18.526682,18.512405,20.0,22.0,26.766666,26.766666,0.99919003
18.540857,18.526682,20.0,22.0,26.8,26.8,0.9992047
18.55494,18.540857,20.0,22.0,26.833334,26.833334,0.99921894
18.568933,18.55494,20.0,22.0,26.866667,26.866667,0.9992329
18.582844,18.568933,20.0,22.0,26.9,26.9,0.9992466
18.596676,18.582844,20.0,22.0,26.933332,26.933332,0.99926
18.610435,18.596676,20.0,22.0,26.966667,26.966667,0.9992731
18.624125,18.610435,20.0,22.0,27.0,27.0,0.999286
18.637749,18.624125,20.0,22.0,27.033333,27.033333,0.9992986
18.651312,18.637749,20.0,22.0,27.066668,27.066668,0.999311
18.664816,18.651312,20.0,22.0,27.1,27.1,0.9993231
18.678267,18.664816,20.0,22.0,27.133333,27.133333,0.999335
18.691666,18.678267,20.0,22.0,27.166666,27.166666,0.9993467
18.705017,18.691666,20.0,22.0,27.2,27.2,0.99935824
18.718323,18.705017,20.0,22.0,27.233334,27.233334,0.99936944
18.731586,18.718323,20.0,22.0,27.266666,27.266666,0.99938047
18.74481,18.731586,20.0,22.0,27.3,27.3,0.9993913
18.757998,18.74481,20.0,22.0,27.333334,27.333334,0.9994019
18.77115,18.757998,20.0,22.0,27.366667,27.366667,0.9994124
18.78427,18.77115,20.0,22.0,27.4,27.4,0.99942267
18.797358,18.78427,20.0,22.0,27.433332,27.433332,0.9994326
18.81042,18.797358,20.0,22.0,27.466667,27.466667,0.9994425
18.823454,18.81042,20.0,22.0,27.5,27.5,0.9994522
18.836464,18.823454,20.0,22.0,27.533333,27.533333,0.9994617
18.84945,18.836464,20.0,22.0,27.566668,27.566668,0.9994711
18.862413,18.84945,20.0,22.0,27.6,27.6,0.9994803
18.875359,18.862413,20.0,22.0,27.633333,27.633333,0.9994893
18.888285,18.875359,20.0,22.0,27.666666,27.666666,0.9994981
18.901194,18.888285,20.0,22.0,27.7,27.7,0.99950683
18.914087,18.901194,20.0,22.0,27.733334,27.733334,0.9995154
18.926966,18.914087,20.0,22.0,27.766666,27.766666,0.9995239
18.93983,18.926966,20.0,22.0,27.8,27.8,0.9995321
18.952684,18.93983,20.0,22.0,27.833334,27.833334,0.9995402
18.965527,18.952684,20.0,22.0,27.866667,27.866667,0.99954814
18.97836,18.965527,20.0,22.0,27.9,27.9,0.999556
18.991182,18.97836,20.0,22.0,27.933332,27.933332,0.99956375
19.003996,18.991182,20.0,22.0,27.966667,27.966667,0.99957126
19.016802,19.003996,20.0,22.0,28.0,28.0,0.9995788
19.029602,19.016802,20.0,22.0,28.033333,28.033333,0.99958605
19.042397,19.029602,20.0,22.0,28.066668,28.066668,0.9995932
19.055185,19.042397,20.0,22.0,28.1,28.1,0.99960035
19.06797,19.055185,20.0,22.0,28.133333,28.133333,0.99960726
19.080751,19.06797,20.0,22.0,28.166666,28.166666,0.99961406
19.093529,19.080751,20.0,22.0,28.2,28.2,0.9996207
19.106304,19.093529,20.0,22.0,28.233334,28.233334,0.99962735
19.119078,19.106304,20.0,22.0,28.266666,28.266666,0.9996338
19.13185,19.119078,20.0,22.0,28.3,28.3,0.9996401
19.144619,19.13185,20.0,22.0,28.333334,28.333334,0.9996464
19.157389,19.144619,20.0,22.0,28.366667,28.366667,0.9996525
19.170158,19.157389,20.0,22.0,28.4,28.4,0.9996586
19.182928,19.170158,20.0,22.0,28.433332,28.433332,0.99966455
19.1957,19.182928,20.0,22.0,28.466667,28.466667,0.9996704
19.208471,19.1957,20.0,22.0,28.5,28.5,0.9996761
19.221245,19.208471,20.0,22.0,28.533333,28.533333,0.9996817
