xn_0,xn_1,xn_2,xn_3,xn_4,xn_5,xn_6,xn_7,xn_8,xn_9,xn_10,xn_11,xn_12,xn_13,xn_14,xn_15,xn_16,xn_17,xn_18,xn_19,xn_20,xn_21,xn_22,xn_23,xn_24,xn_25,xn_26,xn_27,xn_28,xn_29,xn_30,xn_31,xn_32,y,ymin,ymax,d_0,d_1,d_obs,u,lamb_0,lamb_1,lamb_2,lamb_3,lamb_4,lamb_5,lamb_6,lamb_7,lamb_8,lamb_9,lamb_10,lamb_11,lamb_12,lamb_13,lamb_14,lamb_15,lamb_16,lamb_17,lamb_18,lamb_19,lamb_20,lamb_21,lamb_22,lamb_23,lamb_24,lamb_25,lamb_26,lamb_27,lamb_28,lamb_29,lamb_30,lamb_31,lamb_32
5.2086315,11.314368,17.039854,18.7768,4.374589,1.8261538,2.829115,-0.14515227,-0.7712786,-1.0119061,0.407219,-0.257338,11.59166,2.6259243,5.167995,-0.49307013,-0.36069024,-1.2939374,-0.73126274,7.846382,6.535101,9.198681,4.1062717,-0.3229165,-3.515201,1.9198198,19.183392,18.130693,18.33026,-0.49898595,21.56556,-1.703965,4.8128815,21.566792,20.0,22.0,27.6,8.226592,27.6,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
5.1894712,11.27599,17.021946,18.772255,4.361597,1.8187952,2.8139238,-0.14405486,-0.76912546,-1.0119427,0.4010883,-0.24896497,11.596539,2.628353,5.1705017,-0.49280983,-0.3620667,-1.2950892,-0.7319135,7.822071,6.5145082,9.16783,4.0905437,-0.33228827,-3.511407,1.9142704,19.185167,18.132807,18.349564,-0.49868613,21.564259,-1.7029803,4.795435,21.56556,20.0,22.0,27.533333,8.226592,27.533333,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
5.1702595,11.237612,17.004017,18.767654,4.3485737,1.8114128,2.7987785,-0.14290786,-0.7669319,-1.0119793,0.3950358,-0.24051046,11.601416,2.6308088,5.173022,-0.4925176,-0.36346567,-1.2962549,-0.73256594,7.7977715,6.4939356,9.137018,4.074726,-0.34179306,-3.5077202,1.9086885,19.186878,18.134853,18.368109,-0.49840564,21.562887,-1.7019674,4.778045,21.564259,20.0,22.0,27.466667,8.226592,27.466667,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
5.1510983,11.199272,16.98607,18.763004,4.335616,1.8040724,2.7836852,-0.14171365,-0.7647008,-1.0120232,0.38905853,-0.2319727,11.606293,2.6332936,5.175558,-0.49219596,-0.36488658,-1.2974339,-0.7332251,7.7735634,6.4734592,9.106272,4.0589104,-0.3514123,-3.5041347,1.9031286,19.188528,18.13684,18.385899,-0.4981405,21.56145,-1.7009299,4.7607317,21.562887,20.0,22.0,27.4,8.226592,27.4,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
5.1318903,11.160942,16.968105,18.758303,4.3226366,1.796711,2.7686367,-0.14047053,-0.76242995,-1.0120676,0.38315737,-0.2233553,11.611172,2.635805,5.1781073,-0.49184376,-0.3663296,-1.2986267,-0.73388636,7.7493725,6.4530087,9.075563,4.0430126,-0.36116123,-3.5006547,1.8975401,19.190107,18.138765,18.40294,-0.4978941,21.559942,-1.6998658,4.7434764,21.56145,20.0,22.0,27.333334,8.226592,27.333334,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
5.112729,11.122644,16.950123,18.75355,4.309716,1.7893887,2.7536387,-0.13918099,-0.76012254,-1.0121186,0.3773303,-0.21465605,11.616053,2.638345,5.1806736,-0.49146318,-0.36779404,-1.2998326,-0.73455393,7.7252655,6.4326487,9.044918,4.027109,-0.37102318,-3.4972744,1.8919687,19.191626,18.140633,18.41924,-0.49766344,21.558367,-1.6987774,4.7262955,21.559942,20.0,22.0,27.266666,8.226592,27.266666,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
5.0935297,11.084358,16.93212,18.748749,4.296775,1.782052,2.738685,-0.13784346,-0.75777614,-1.0121706,0.37157828,-0.20587784,11.620934,2.6409118,5.1832523,-0.4910519,-0.36927986,-1.3010513,-0.7352237,7.7011795,6.4123154,9.014312,4.011139,-0.3810115,-3.4939976,1.8863697,19.193077,18.14244,18.434807,-0.49745065,21.556726,-1.6976627,4.7091722,21.558367,20.0,22.0,27.2,8.226592,27.2,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
5.0743656,11.046101,16.9141,18.743902,4.2838917,1.7747488,2.72378,-0.13646019,-0.7553927,-1.0122286,0.36589873,-0.19701955,11.625815,2.6435056,5.1858473,-0.4906127,-0.37078685,-1.3022826,-0.73589903,7.6771717,6.392067,8.983766,3.9951534,-0.39111233,-3.4908185,1.880784,19.194468,18.144192,18.449646,-0.49725372,21.555023,-1.6965237,4.69212,21.556726,20.0,22.0,27.133333,8.226592,27.133333,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
5.055169,11.007854,16.896065,18.739006,4.270994,1.7674332,2.7089195,-0.13503039,-0.752972,-1.012288,0.3602932,-0.18808389,11.630699,2.6461263,5.1884565,-0.49014342,-0.37231493,-1.3035274,-0.7365769,7.6531925,6.371853,8.9532585,3.9791012,-0.4013362,-3.4877405,1.8751764,19.195797,18.145884,18.463762,-0.49707454,21.55325,-1.6953592,4.6751256,21.555023,20.0,22.0,27.066668,8.226592,27.066668,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
5.036005,10.969638,16.878012,18.734058,4.2581415,1.760148,2.6941068,-0.13355559,-0.7505152,-1.0123531,0.35475922,-0.17906952,11.635582,2.6487741,5.19108,-0.4896469,-0.37386376,-1.3047847,-0.7372607,7.629286,6.351715,8.922811,3.9630356,-0.4116702,-3.4847598,1.8695803,19.197063,18.147518,18.477165,-0.4969111,21.551414,-1.6941713,4.6582007,21.55325,20.0,22.0,27.0,8.226592,27.0,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
5.016815,10.931432,16.85994,18.729065,4.2452793,1.7528553,2.6793377,-0.13203496,-0.74802136,-1.0124197,0.34929752,-0.1699793,11.640465,2.6514478,5.193717,-0.48912102,-0.3754334,-1.3060546,-0.7379469,7.605406,6.3316135,8.892403,3.946907,-0.42212486,-3.481878,1.8639631,19.198269,18.149094,18.489859,-0.49676484,21.549513,-1.6929576,4.6413345,21.551414,20.0,22.0,26.933332,8.226592,26.933332,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
4.997651,10.893256,16.841852,18.724024,4.232465,1.7455893,2.6646156,-0.13046998,-0.74549186,-1.0124917,0.34390545,-0.16081217,11.64535,2.6541476,5.1963696,-0.48856783,-0.37702322,-1.307337,-0.7386384,7.5815926,6.3115873,8.862049,3.9307652,-0.43269062,-3.479091,1.8583546,19.199413,18.150616,18.50185,-0.4966343,21.54755,-1.6917211,4.624534,21.549513,20.0,22.0,26.866667,8.226592,26.866667,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
4.978466,10.855091,16.823742,18.718937,4.2196445,1.7383175,2.6499362,-0.12886,-0.74292576,-1.0125654,0.33858424,-0.15157008,11.650236,2.6568732,5.199034,-0.48798645,-0.37863356,-1.3086323,-0.73933256,7.55781,6.2915983,8.8317375,3.9145584,-0.44337273,-3.4764013,1.8527308,19.200499,18.152079,18.513145,-0.49652022,21.545523,-1.69046,4.6077914,21.54755,20.0,22.0,26.8,8.226592,26.8,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
4.959302,10.816955,16.805618,18.713804,4.2068624,1.7310677,2.635302,-0.12720609,-0.740325,-1.012644,0.33333206,-0.14225227,11.655123,2.6596248,5.2017136,-0.48737764,-0.38026375,-1.3099394,-0.74003166,7.5340977,6.271678,8.801479,3.8983383,-0.45416307,-3.4738052,1.8471107,19.201523,18.153488,18.523754,-0.49642187,21.543434,-1.6891754,4.5911136,21.545523,20.0,22.0,26.733334,8.226592,26.733334,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
4.9401217,10.778829,16.78748,18.708624,4.1940784,1.7238178,2.6207108,-0.12550834,-0.73768854,-1.0127248,0.32814986,-0.13286096,11.66001,2.6624014,5.2044067,-0.4867413,-0.38191426,-1.311259,-0.74073356,7.510416,6.2518015,8.771262,3.882063,-0.4650674,-3.4713044,1.8414774,19.202494,18.154842,18.533678,-0.49633962,21.541283,-1.687867,4.5744944,21.543434,20.0,22.0,26.666666,8.226592,26.666666,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
4.9209547,10.740726,16.769325,18.703398,4.181329,1.7165852,2.606164,-0.12376812,-0.7350172,-1.01281,0.3230353,-0.12339556,11.664898,2.665204,5.2071137,-0.48607826,-0.38358408,-1.3125907,-0.7414406,7.4867935,6.231984,8.741096,3.8657608,-0.47608042,-3.4688957,1.835846,19.203402,18.156145,18.542925,-0.49627292,21.539068,-1.6865362,4.557937,21.541283,20.0,22.0,26.6,8.226592,26.6,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
4.901784,10.702642,16.75115,18.698124,4.168583,1.7093554,2.5916595,-0.12198433,-0.7323121,-1.0128975,0.31798887,-0.11385822,11.669786,2.6680307,5.209833,-0.48538846,-0.3852737,-1.3139346,-0.74215037,7.463211,6.2122164,8.710974,3.849411,-0.48720407,-3.4665802,1.830205,19.204252,18.157389,18.5515,-0.49622232,21.536797,-1.6851816,4.5414386,21.539068,20.0,22.0,26.533333,8.226592,26.533333,1.0,0.0,0.0,0.10554999,-0.10554999,0.0,0.0,0.0,0.0109061375,-0.0109061375,0.0,0.0,0.0,0.0,0.027948739,-0.027948739,0.0,0.0,0.0,0.0,0.03204387,-0.03204387,0.0030757887,-0.0030757887,0.0,0.0,0.019626372,-0.019626372,0.0,0.0,0.0063348906,-0.0063348906,0.00092138647,-0.00092138647
